fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging
 Me & My brother icecube ....That day was a ,44,9,1,6,17,7,0,0,1,1,,"{""NP"": {""NP#CC#NP"": 1, ""DT"": 1}, ""VP"": {""VBP"": 1, ""VBD#NP"": 1}, ""S"": {""S#:#S"": 1}}",0.0,1.0,0.0,"{""O"": 1, ""&"": 1, ""D"": 3, ""N"": 3, "","": 1, ""V"": 1}"
Breaking news people....I think I grew a little bit. I just had to add a line on my height wall...This is HUGE! I am a full 5 foot 5 now. From now on when I play Basketball Im going to need to be fed in the post damn it....Im drop stepping all day!,248,53,1,42,16,1,0,0,0,0,,"{""NP"": {""NN#NNS"": 1, ""DT#JJ#NN"": 1, ""PRP$#NN#NN"": 1, ""DT"": 1, ""DT#JJ#CD#NN"": 1, ""CD"": 1, ""RB"": 1, ""NP#VP"": 2}, ""VP"": {""VBG#NP"": 3, ""VBD#NP"": 1, ""VBP#SBAR"": 1, ""VB#NP#PP"": 1, ""VBD#S"": 1, ""VBZ#ADJP"": 1, ""VBP#NP#ADVP"": 1, ""VBN#PP"": 1, ""VB#VP"": 1, ""VB#S"": 1, ""VBG#S"": 1, ""VBP#NP"": 1, ""VBP#S"": 1}, ""S"": {""S#:#S#."": 2, ""NP#ADVP#VP"": 1, ""PP#:#NP#VP#."": 1}, ""SBAR"": {""S"": 1, ""WHADVP#S"": 1}, ""ADVP"": {""NP#RB"": 1}, ""PP"": {""IN#SBAR"": 1}, ""ADJP"": {""JJ"": 1}, ""WHADVP"": {""WRB"": 1}}",0.094,0.787,0.118,"{""V"": 14, ""N"": 10, "","": 7, ""O"": 7, ""D"": 6, ""A"": 3, ""R"": 4, ""P"": 7, ""$"": 2, ""L"": 2, ""!"": 1}"
Morning vibes .....Roxy X Baby Zo  ,35,6,1,3,15,7,0,0,1,1,,"{""NP"": {""NN#NNS"": 1, ""NNP#NNP#NNP#NNP"": 1, ""NP#:#NP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""N"": 3, "","": 1, ""^"": 1, ""E"": 1, ""G"": 1}"
  ,2,0,1,0,14,7,0,0,1,2,,{},0.0,0.0,0.0,{}
Caption this   ,15,2,1,1,22,7,0,0,1,1,😂:5,"{""NP"": {""DT"": 1}}",0.0,1.0,0.0,"{""N"": 1, ""D"": 1}"
Tuesday morning dog work with Cali K9 DogTraining ....So ,57,9,1,5,19,7,0,1,1,0,,"{""NP"": {""NNP#NN#NN"": 1, ""NNP#NNP#NNP"": 1, ""S"": 1}, ""VP"": {""VB#PP#:#ADVP"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""^"": 4, ""N"": 3, ""P"": 1, "","": 1, ""R"": 1}"
 ,1,0,1,0,19,7,0,0,1,1,,{},0.0,0.0,0.0,{}
 ,1,0,1,0,14,7,0,0,1,1,,{},0.0,0.0,0.0,{}
   ,3,0,1,0,5,7,0,0,1,3,,{},0.0,0.0,0.0,{}
It's a celebration of laughter people!!!!! ,43,6,1,3,23,7,0,0,1,0,,"{""NP"": {""NN#NNS#NNS"": 1}, ""VP"": {""VBZ#NP"": 1}}",0.0,0.478,0.522,"{""L"": 1, ""D"": 1, ""N"": 3, ""P"": 1, "","": 1}"
A quick recap of one of the biggest nights of my ,49,11,1,7,16,7,0,0,1,0,,"{""NP"": {""DT#JJ#NN"": 1, ""CD"": 1, ""DT#JJS#NNS"": 1, ""PRP$"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""D"": 3, ""A"": 2, ""N"": 2, ""P"": 3, ""$"": 1}"
,0,0,0,0,6,1,0,0,1,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,4,1,0,0,1,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,4,1,0,0,1,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,4,1,0,0,1,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,4,1,0,0,1,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,4,1,0,0,1,1,,{},0.0,0.0,0.0,{}
,0,0,0,0,4,1,0,0,1,1,,{},0.0,0.0,0.0,{}
 This picture just makes me happy. Look at ,43,8,1,5,22,7,0,0,1,0,😂:5,"{""ADVP"": {""IN"": 1}, ""ADJP"": {""JJ"": 1}, ""S"": {""NP#ADJP"": 1, ""NP#ADVP#VP#."": 1}, ""VP"": {""VBZ#S"": 1, ""VB#ADVP"": 1}}",0.0,0.654,0.346,"{""D"": 1, ""N"": 1, ""R"": 1, ""V"": 2, ""O"": 1, ""A"": 1, "","": 1, ""P"": 1}"
Just touched down in Edmonton AB and I am beyond ,49,10,1,7,20,7,0,0,1,0,,"{""PRT"": {""RP"": 1}, ""NP"": {""S"": 1}, ""PP"": {""IN"": 1}, ""VP"": {""ADVP#VBN#PRT#PP"": 1, ""VBP#PP"": 1}, ""S"": {""S#CC#S"": 1}, ""ROOT"": {""NP"": 1}}",0.0,1.0,0.0,"{""R"": 1, ""V"": 2, ""T"": 1, ""P"": 2, ""^"": 2, ""&"": 1, ""O"": 1}"
"Boise ID my ""Irresponsible Tour"" will be in your city tomorrow night...Get your tickets and come laugh with me damn it. Let's gooooooooo ",137,23,1,14,20,1,0,0,1,0,,"{""NP"": {""PRP$#``#JJ#NN"": 1, ""NP#NP"": 1, ""PRP$#NN#NN"": 1, ""PRP$#NNS"": 1, ""NNP#POS"": 1, ""NP#NN"": 1}, ""PP"": {""IN#S"": 1}, ""VP"": {""VB#PP#NP"": 1, ""VBG#NP"": 1, ""VB#NP#PP"": 1, ""VP#CC#VP"": 1, ""VP#:#VP"": 1, ""MD#VP"": 1}, ""ROOT"": {""NP"": 1}}",0.192,0.685,0.123,"{""^"": 1, ""L"": 2, ""D"": 3, "","": 4, ""A"": 1, ""N"": 5, ""V"": 6, ""P"": 2, ""&"": 1, ""O"": 2, ""!"": 1}"
